,Country Name,Country Code,2021
213,Somalia,SOM,17065581.0
214,Serbia,SRB,6834326.0
216,South Sudan,SSD,10748272.0
219,Sao Tome and Principe,STP,223107.0
220,Suriname,SUR,612985.0
221,Slovak Republic,SVK,5447247.0
222,Slovenia,SVN,2108079.0
223,Sweden,SWE,10415811.0
224,Eswatini,SWZ,1192271.0
225,Sint Maarten (Dutch part),SXM,42846.0
226,Seychelles,SYC,99258.0
227,Syrian Arab Republic,SYR,21324367.0
228,Turks and Caicos Islands,TCA,45114.0
229,Chad,TCD,17179740.0
232,Togo,TGO,8644829.0
233,Thailand,THA,71601103.0
234,Tajikistan,TJK,9750064.0
235,Turkmenistan,TKM,6341855.0
237,Timor-Leste,TLS,1320942.0
239,Tonga,TON,106017.0
242,Trinidad and Tobago,TTO,1525663.0
243,Tunisia,TUN,12262946.0
244,Turkiye,TUR,84775404.0
245,Tuvalu,TUV,11204.0
246,Tanzania,TZA,63588334.0
247,Uganda,UGA,45853778.0
248,Ukraine,UKR,43792855.0
250,Uruguay,URY,3426260.0
251,United States,USA,331893745.0
252,Uzbekistan,UZB,34915100.0
253,St. Vincent and the Grenadines,VCT,104332.0
254,"Venezuela, RB",VEN,28199867.0
255,British Virgin Islands,VGB,31122.0
256,Virgin Islands (U.S.),VIR,105870.0
257,Vietnam,VNM,97468029.0
258,Vanuatu,VUT,319137.0
260,Samoa,WSM,218764.0
261,Kosovo,XKX,1786038.0
262,"Yemen, Rep.",YEM,32981641.0
263,South Africa,ZAF,59392255.0
264,Zambia,ZMB,19473125.0
265,Zimbabwe,ZWE,15993524.0
